1,Taller Rápido,10 Calle, Zona 1
2,Mecánica Total,5a Avenida, Zona 2
3,AutoServicio,12 Calle, Zona 5
4,Taller Express,8a Avenida, Zona 9
5,Mecánica Pro,15 Calle, Zona 10
6,Taller Moderno,20 Avenida, Zona 5
7,Mecánica Veloz,7 Calle, Zona 3
8,Taller Confiable,12 Avenida, Zona 7
9,Mecánica Especializada,18 Calle, Zona 6
10,Taller Premium,9 Avenida, Zona 11
11,Mecánica Integral,14 Calle, Zona 4
12,Taller Master,16 Avenida, Zona 8
13,Mecánica Expert,22 Calle, Zona 2
14,Taller Plus,11 Avenida, Zona 5
15,Mecánica Plus,13 Calle, Zona 9
16,Taller Elite,17 Avenida, Zona 10
17,Mecánica Total Pro,19 Calle, Zona 1
18,Taller Especial,21 Avenida, Zona 3
19,Mecánica Avanzada,23 Calle, Zona 7
20,Taller Profesional,25 Avenida, Zona 4
21,Mecánica de Confianza,27 Calle, Zona 6
22,Taller de Excelencia,29 Avenida, Zona 8
23,Mecánica Superior,31 Calle, Zona 2
24,Taller Calidad,33 Avenida, Zona 5
25,Mecánica Garantizada,35 Calle, Zona 9
